,id,label0,label1,label2
0,00005a3efe934a19adc0b69b05faeae7,2.623257,1.4213347,-3.237086
1,0009dc82c41341d794837271d4dbff5f,-0.99100435,2.667555,-0.9518309
2,000f3763b6074588817c9ab90a22a814,-2.746231,2.2210991,1.0075545
3,00117934dbe240068c95b6d04b08eea7,-0.88668877,3.8253338,-0.48099592
4,0014cef5ccfa43b3a6b20162a03763fa,0.203596,-0.5624194,1.2680025
5,0015fb20dbd54d249a50559789f43c52,2.587024,2.281776,-3.0750687
6,002a0b77fded4ae1abaa8ed9f2ad0824,3.2543519,-0.8706064,-1.3362999
7,002c023ddb7343fdb8b3652ace2ded15,-0.7376797,2.983044,0.57392323
8,002daa98e1b240679212a1b7a0402996,-1.5812721,1.640243,1.4491489
9,00305089bee5422ca2423176c448e91a,-1.0395725,-0.8575151,3.760659
10,00326db52586478f80d3c23908b32c69,0.1133976,3.566441,-0.50127697
11,0035484c19a94cbb96d9e552cfddf43d,-2.3137252,-0.9700297,5.9210105
12,00369ae2c2d94f28a0912d6166e05ef3,-2.3383627,-1.445719,4.551689
13,004034b54f0340f7b3fa5265c5921ba2,-2.8323503,-0.85110486,5.018574
14,0046be86e6a14b30ae7aa09b5a61bace,1.9960692,2.5106947,-2.6742294
15,005602f337e44d1f96afecc6c65b8a66,-1.3473222,1.1062741,0.6269975
16,00562b5dfb8a4e4db3a958cd3488583a,1.5339437,1.3570193,-1.9089959
17,0066cf2839b943689cc059e775be6ec4,-1.299427,3.7903693,0.5896942
18,006789970e694f82a62a72f85c16dc48,0.2680245,4.0820317,-2.1198273
19,0068ad4e79c140cfa9e2534415bb9134,-1.7408752,-0.4312732,4.9883733
20,0073c20837eb406dbe4c497015e1ccea,-1.2239583,4.336117,-1.0122969
21,007da0014e584743b1ffbbddc4376520,-1.0216682,3.3994784,-1.2381833
22,008e5bbd2bc548e4bd0948f64cd881c3,-1.5240173,0.68214893,4.006062
23,00902cb2409b4ea5a0cf3f43e53bb5bb,-1.5802772,-0.24998114,4.415824
24,009bbefa36bf48c7b6f54423b9e16675,-2.640205,-1.0914159,4.335598
25,009f3de0b6e6485197526d6672d3b4d3,-2.293324,0.8536123,3.474817
26,00a9e3be90544e748c117ff8e364369e,3.2137506,0.69612896,-2.7492678
27,00cca63aee8e4af5a60fbbfa9d3fbb68,0.10821515,4.4410887,-2.4753072
28,00e0421bb7e94477bc9eec08e5c4af65,-1.422471,-0.96979725,3.1022942
